app_name,file,reviews_scraped,date_min,date_max,avg_rating,scrape_date
Cash App,cashapp_raw.csv,2600,2026-05-06 15:06:12,2026-05-25 20:37:42,4.07,2026-05-26 20:49:37
Venmo,venmo_raw.csv,2600,2026-04-22 15:03:48,2026-05-25 20:04:59,3.31,2026-05-26 20:49:37
Chime,chime_raw.csv,2600,2026-04-09 17:25:56,2026-05-25 20:32:48,3.9,2026-05-26 20:49:37
PayPal,paypal_raw.csv,2600,2026-04-26 16:48:41,2026-05-25 20:43:01,3.43,2026-05-26 20:49:37
